School,Gap,Gender,Pay
Berkeley,17,Men,88
Berkeley,17,Women,71
Brown,20,Men,92
Brown,20,Women,72
Chicago,40,Men,118
Chicago,40,Women,78
Columbia,33,Men,119
Columbia,33,Women,86
Cornell,27,Men,107
Cornell,27,Women,80
Dartmouth,30,Men,114
Dartmouth,30,Women,84
Duke,31,Men,124
Duke,31,Women,93
Emory,14,Men,82
Emory,14,Women,68
Georgetown,37,Men,131
Georgetown,37,Women,94
Harvard,53,Men,165
Harvard,53,Women,112
Michigan,22,Men,84
Michigan,22,Women,62
MIT,58,Men,152
MIT,58,Women,94
Notre Dame,27,Men,100
Notre Dame,27,Women,73
NYU,27,Men,94
NYU,27,Women,67
Princeton,47,Men,137
Princeton,47,Women,90
SoCal,9,Men,81
SoCal,9,Women,72
Stanford,55,Men,151
Stanford,55,Women,96
Tufts,36,Men,112
Tufts,36,Women,76
U.Penn,49,Men,141
U.Penn,49,Women,92
UCLA,14,Men,78
UCLA,14,Women,64
Yale,35,Men,114
Yale,35,Women,79
